-4456,wer,false,7/4/2032
6,cx,false,7/4/2018
65,cx,false,7/4/2015
897,,false,7/4/2028
78,ewv,false,7/4/2007
8,aq,false,7/4/2023
87,cx,false,7/4/2003
-9,wer,false,4/5/2001
-89,e,false,7/4/1998
-45,er,false,7/4/2025
5,f,false,7/4/2006
56,wer,false,7/4/2019
64132,he,false,7/4/2026
9,wer,false,7/4/2004
56,qef,false,7/4/2030
45,ref,false,7/4/2011
-89,sd,false,7/4/2013
1,wer,false,7/4/2001
21,da,false,3/12/1996
-98,sd,false,7/4/2022
6532,e,false,7/4/2005
98,wer,true,7/4/2008
32,wer,false,7/4/2010
98,cx,true,7/4/2021
-656,dc,true,7/4/2012
6,sd,true,7/4/2009
65,sf,true,7/4/2031
6521,tr,true,7/4/2000
5,xw,true,7/4/2017
64,rwe,true,7/4/1997
45,t,true,7/4/1999
987,gweqf,true,7/4/2027
54,ec,true,7/4/2016
5,er,true,7/4/2014
45,sd,true,7/4/2002
87,ds,true,7/4/2020
65,as,true,3/12/1996
4,fq,true,7/4/2029
46,r,true,7/4/2024

